Title,Company,Reward,Link
[Next.js/React] Front-end Engineer,디써클,합격보상금 100만원,https://www.wanted.co.kr/wd/237846
"백엔드 엔지니어 (React, Next.js)",잉카엔트웍스,합격보상금 100만원,https://www.wanted.co.kr/wd/237504
프론트엔드 (NextJS) 테크 리드,언더밀리,합격보상금 100만원,https://www.wanted.co.kr/wd/235033
[에어서플라이] 프론트엔드 엔지니어 (Next.js),로랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/226913
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr/wd/224679
[플레이오] Next.js 웹 개발자,지엔에이컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/233795
풀스택 Next.js 개발자 (React),웨이브이,합격보상금 100만원,https://www.wanted.co.kr/wd/234908
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr/wd/227927
[Next.js/React] Front-end Engineer,디써클,합격보상금 100만원,https://www.wanted.co.kr/wd/237846
"백엔드 엔지니어 (React, Next.js)",잉카엔트웍스,합격보상금 100만원,https://www.wanted.co.kr/wd/237504
프론트엔드 (NextJS) 테크 리드,언더밀리,합격보상금 100만원,https://www.wanted.co.kr/wd/235033
[에어서플라이] 프론트엔드 엔지니어 (Next.js),로랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/226913
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr/wd/224679
[플레이오] Next.js 웹 개발자,지엔에이컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/233795
풀스택 Next.js 개발자 (React),웨이브이,합격보상금 100만원,https://www.wanted.co.kr/wd/234908
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr/wd/227927
React / Next.js 웹개발자 (2년 이상),다이노즈,합격보상금 100만원,https://www.wanted.co.kr/wd/208965
"Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/107946
